variable,domain,type,stat_label,question,overall,DEM,IND,REP
sexuality,Demographics,categorical_dist,% Prefer not to say,Sexual orientation,1.79,1.82,2.25,0.77
employ,Employment & Labor,categorical_dist,% Full-time,Employment status,38.26,38.83,40.08,38.32
employ,Employment & Labor,categorical_dist,% Part-time,Employment status,10.8,11.25,10.23,10.08
employ,Employment & Labor,categorical_dist,% Temporarily laid off,Employment status,0.82,0.62,1.03,0.51
employ,Employment & Labor,categorical_dist,% Unemployed,Employment status,8.1,7.92,9.21,5.45
employ,Employment & Labor,categorical_dist,% Retired,Employment status,22.79,22.86,19.38,28.61
employ,Employment & Labor,categorical_dist,% Permanently disabled,Employment status,6.28,6.1,6.32,5.75
employ,Employment & Labor,categorical_dist,% Homemaker,Employment status,6.22,4.5,6.44,7.46
employ,Employment & Labor,categorical_dist,% Student,Employment status,4.58,5.57,5.09,2.36
employ,Employment & Labor,categorical_dist,% Other,Employment status,2.14,2.34,2.21,1.46
union,Employment & Labor,categorical_dist,% Current member,Labor union membership,5.75,7.4,5.03,4.89
union,Employment & Labor,categorical_dist,% Former member,Labor union membership,16.02,16.5,16.62,15.31
union,Employment & Labor,categorical_dist,% Never member,Labor union membership,78.23,76.1,78.35,79.79
unionhh,Employment & Labor,categorical_dist,% Currently member,Household union membership,6.42,7.66,5.35,5.91
unionhh,Employment & Labor,categorical_dist,% Formerly member,Household union membership,10.65,11.25,10.61,11.05
unionhh,Employment & Labor,categorical_dist,% Never member,Household union membership,75.05,72.21,76.86,78.05
unionhh,Employment & Labor,categorical_dist,% Not sure,Household union membership,7.89,8.88,7.19,5.0
hadjob,Employment & Labor,binary,% Supporting,Had a job in the past 5 years (% Yes),44.9808,43.99,49.58,40.63
gigwork,Employment & Labor,binary,% Supporting,Gig / freelance work (% Yes),17.4966,16.3,19.95,16.29
investor,Employment & Labor,binary,% Supporting,Owns stocks or mutual funds (% Yes),43.1723,41.8,48.3,44.32
milstat_1,Demographics,binary,% Supporting,Currently serving in military (% Yes),0.5149,0.32,0.72,0.47
milstat_3,Demographics,binary,% Supporting,Previously served in military (% Yes),9.4919,6.5,11.1,11.58
presvote20post,Voting History,categorical_dist,% Biden,2020 Presidential vote,40.12,81.41,34.41,4.22
presvote20post,Voting History,categorical_dist,% Trump,2020 Presidential vote,35.84,2.55,33.6,80.69
presvote20post,Voting History,categorical_dist,% Jorgensen,2020 Presidential vote,0.89,0.16,1.9,0.3
presvote20post,Voting History,categorical_dist,% Hawkins,2020 Presidential vote,0.26,0.09,0.53,0.02
presvote20post,Voting History,categorical_dist,% Other,2020 Presidential vote,0.48,0.11,0.93,0.19
presvote20post,Voting History,categorical_dist,% Did not vote,2020 Presidential vote,22.42,15.68,28.63,14.57
presvote16post,Voting History,categorical_dist,% Clinton,2016 Presidential vote,29.16,63.19,21.37,2.56
presvote16post,Voting History,categorical_dist,% Trump,2016 Presidential vote,31.95,3.91,30.3,70.11
presvote16post,Voting History,categorical_dist,% Johnson,2016 Presidential vote,2.55,1.23,5.14,1.37
presvote16post,Voting History,categorical_dist,% Stein,2016 Presidential vote,1.2,0.84,2.53,0.17
presvote16post,Voting History,categorical_dist,% McMullin,2016 Presidential vote,0.47,0.21,0.77,0.48
presvote16post,Voting History,categorical_dist,% Other,2016 Presidential vote,1.19,0.71,1.99,0.72
presvote16post,Voting History,categorical_dist,% Did not vote,2016 Presidential vote,33.49,29.91,37.9,24.58
gunown,Demographics,categorical_dist,% Personally owns,Personal gun ownership,27.39,14.27,30.51,41.15
gunown,Demographics,categorical_dist,"% HH owns, not me",Personal gun ownership,12.64,10.88,11.62,15.18
gunown,Demographics,categorical_dist,% No one in HH,Personal gun ownership,59.96,74.85,57.88,43.67
CC24_308a_1,Foreign Policy & Defense,binary,% Supporting,Ukraine: stay out of the conflict,21.4043,11.0,22.18,29.28
CC24_308a_2,Foreign Policy & Defense,binary,% Supporting,Ukraine: send humanitarian aid,53.1971,70.25,51.97,37.63
CC24_308a_3,Foreign Policy & Defense,binary,% Supporting,Ukraine: impose economic sanctions on Russia,42.0953,55.45,42.14,31.47
CC24_308a_4,Foreign Policy & Defense,binary,% Supporting,Ukraine: provide arms to Ukraine,34.3883,51.87,33.59,20.21
CC24_308a_5,Foreign Policy & Defense,binary,% Supporting,Ukraine: send non-combat military advisors,23.0066,37.08,20.36,12.03
CC24_308a_6,Foreign Policy & Defense,binary,% Supporting,Ukraine: send significant force to fight Russia,5.3059,7.71,4.54,3.87
CC24_308a_7,Foreign Policy & Defense,binary,% Supporting,Ukraine: negotiate a Russia–Ukraine peace accord,42.1805,44.07,45.34,39.36
CC24_308a_8,Foreign Policy & Defense,binary,% Supporting,Ukraine: fund post-war reconstruction,38.5015,54.9,38.56,20.91
CC24_308b_1,Foreign Policy & Defense,binary,% Supporting,Israel/Gaza: stay out of the conflict,20.4254,13.86,20.61,23.86
CC24_308b_2,Foreign Policy & Defense,binary,% Supporting,Israel/Gaza: send humanitarian aid,48.1844,63.88,47.52,33.25
CC24_308b_3,Foreign Policy & Defense,binary,% Supporting,Israel/Gaza: provide arms to Israel,27.171,14.59,26.74,45.37
CC24_308b_4,Foreign Policy & Defense,binary,% Supporting,Israel/Gaza: provide arms to Hamas,1.5772,2.08,1.39,0.76
CC24_308b_5,Foreign Policy & Defense,binary,% Supporting,Israel/Gaza: send US Navy & troops to contain the conflict,23.359,26.53,22.4,23.24
CC24_308b_6,Foreign Policy & Defense,binary,% Supporting,Israel/Gaza: send non-combat military support to Israel,17.497,14.53,16.42,24.17
CC24_308b_7,Foreign Policy & Defense,binary,% Supporting,Israel/Gaza: send non-combat military support to Gaza,8.42,14.56,6.77,3.05
CC24_308b_8,Foreign Policy & Defense,binary,% Supporting,Israel/Gaza: negotiate a peace settlement,48.4476,63.62,50.41,32.53
CC24_308b_9,Foreign Policy & Defense,binary,% Supporting,Israel/Gaza: fund post-war reconstruction,39.6509,55.74,40.11,21.87
CC24_420_1,Foreign Policy & Defense,binary,% Supporting,Use US troops: to ensure the oil supply,19.9388,13.22,18.65,31.27
CC24_420_2,Foreign Policy & Defense,binary,% Supporting,Use US troops: to destroy a terrorist camp,53.7889,45.61,56.5,65.41
CC24_420_3,Foreign Policy & Defense,binary,% Supporting,Use US troops: to stop genocide or civil war,36.0682,46.76,34.16,29.05
CC24_420_4,Foreign Policy & Defense,binary,% Supporting,Use US troops: to spread democracy,17.0782,23.8,13.66,14.89
CC24_420_5,Foreign Policy & Defense,binary,% Supporting,Use US troops: to protect allies under attack,67.1555,70.89,65.84,69.24
CC24_420_6,Foreign Policy & Defense,binary,% Supporting,Use US troops: to help the UN uphold international law,42.7481,59.93,39.53,28.65
CC24_420_7,Foreign Policy & Defense,binary,% Supporting,Use US troops: for none of these reasons,13.7798,10.86,15.54,10.48
CC24_323c,Immigration,binary,% Supporting,Build a wall between the U.S. and Mexico,53.7449,20.5,55.09,92.45
CC24_324a,Abortion,binary,% Supporting,Always allow abortion as a matter of personal choice,61.1403,90.56,59.71,28.63
CC24_324c,Abortion,binary,% Supporting,Make abortion illegal in all circumstances,11.551,6.6,8.81,19.04
CC24_324d,Abortion,binary,% Supporting,Expand abortion access and affordability,60.2694,90.63,57.98,27.67
CC24_340a,Abortion,binary,% Supporting,Protect access to contraception (Congress bill),72.2478,78.97,75.1,62.61
CC24_430a_6,Civic Engagement,binary,% Supporting,"Donated to a candidate, campaign, or party (past year)",19.0444,26.34,15.47,16.82
CC24_430a_1,Civic Engagement,binary,% Supporting,Attended a local political meeting (past year),8.1424,9.33,7.31,8.45
CC24_430a_2,Civic Engagement,binary,% Supporting,Put up a political sign (past year),15.0497,16.86,11.52,18.25
CC24_430a_3,Civic Engagement,binary,% Supporting,Worked for a candidate or campaign (past year),3.4124,5.42,2.32,2.74
CC24_430a_4,Civic Engagement,binary,% Supporting,"Attended a protest, march, or demonstration (past year)",4.5077,7.08,3.84,2.49
CC24_443_1,Government Spending,binary,% Supporting,Increase state spending on welfare,34.0608,53.78,28.91,15.96
CC24_443_2,Government Spending,binary,% Supporting,Increase state spending on health care,65.0052,84.37,61.53,47.47
CC24_443_3,Government Spending,binary,% Supporting,Increase state spending on education,65.3182,81.37,60.78,52.34
CC24_443_4,Government Spending,binary,% Supporting,Increase state spending on law enforcement,53.6542,38.21,50.52,77.41
CC24_443_5,Government Spending,binary,% Supporting,Increase state spending on transportation & infrastructure,66.4146,74.47,67.59,58.45
vote16_clinton,Voting History,binary,% Supporting,2016: Hillary Clinton (D),29.1583,63.19,21.37,2.56
vote16_trump,Voting History,binary,% Supporting,2016: Donald Trump (R),31.9506,3.91,30.3,70.11
vote16_third,Voting History,binary,% Supporting,2016: Third-party / other,5.4037,2.99,10.43,2.75
vote16_dnv,Voting History,binary,% Supporting,2016: Did not vote,33.4874,29.91,37.9,24.58
vote20_biden,Voting History,binary,% Supporting,2020: Joe Biden (D),40.1226,81.41,34.41,4.22
vote20_trump,Voting History,binary,% Supporting,2020: Donald Trump (R),35.8352,2.55,33.6,80.69
vote20_third,Voting History,binary,% Supporting,2020: Third-party / other,1.6237,0.36,3.36,0.52
vote20_dnv,Voting History,binary,% Supporting,2020: Did not vote,22.4185,15.68,28.63,14.57
appr_biden,Voting History,binary,% Supporting,2024: Approve of Joe Biden (job),40.0894,82.58,32.07,4.2
appr_harris,Voting History,binary,% Supporting,2024: Approve of Kamala Harris (job),44.1324,88.51,37.1,5.23
vote24_harris,Voting History,binary,% Supporting,2024: Kamala Harris (D),47.8325,93.17,42.95,3.34
vote24_trump,Voting History,binary,% Supporting,2024: Donald Trump (R),47.1306,4.32,49.17,94.36
vote24_third,Voting History,binary,% Supporting,2024: Third-party / other,1.932,0.42,3.86,0.73
vote24_dnv,Voting History,binary,% Supporting,2024: Did not vote,3.0364,2.13,3.78,1.53
reported_turnout_24,Voting History,binary,% Supporting,2024: Self-reported turnout,86.4487,91.24,82.55,92.97
verified_turnout_24,Voting History,binary,% Supporting,2024: Voter-file-verified turnout,59.0985,61.22,57.77,62.79
pew_religimp,Religion,binary,% Supporting,Religion is important (very or somewhat),59.7775,46.83,54.32,80.04
pew_prayer,Religion,binary,% Supporting,Prays weekly or more often,55.4126,44.43,50.44,73.81
relig_protestant,Faith,binary,% Supporting,Protestant,33.2202,24.77,28.79,49.55
relig_catholic,Faith,binary,% Supporting,Roman Catholic,18.0148,17.77,16.28,21.24
relig_jewish,Faith,binary,% Supporting,Jewish,2.2874,3.56,2.02,1.5
relig_muslim,Faith,binary,% Supporting,Muslim,0.7784,1.03,0.74,0.38
relig_none,Faith,binary,% Supporting,Unaffiliated (none / atheist / agnostic),34.462,43.64,39.68,16.77
relig_other,Faith,binary,% Supporting,Other faith,11.2372,9.23,12.48,10.55
newsint,Civic Engagement,binary,% Supporting,Follows public affairs most of the time,48.6696,49.67,49.94,51.24
numkids,Household,categorical_dist,% 0,Number of children,41.4324,47.6,44.83,29.27
numkids,Household,categorical_dist,% 1,Number of children,16.3364,16.41,15.46,16.99
numkids,Household,categorical_dist,% 2,Number of children,22.1527,19.73,20.52,28.28
numkids,Household,categorical_dist,% 3+,Number of children,20.0784,16.26,19.2,25.46
